pos1_idx,pos2_idx,pos3_idx,pos4_idx,angle,time
1,1,1,3,22.5,5595
1,1,4,4,22.5,5491
1,3,3,4,45,6684
1,3,3,4,0,6015
1,4,2,4,22.5,6984
2,4,4,4,22.5,6356
