pos1_idx,pos2_idx,pos3_idx,pos4_idx,angle,time
1,1,4,1,0,5681
1,1,4,2,0,5605
1,2,4,1,0,5674
1,2,4,2,0,5758
1,1,4,1,0,5713
1,1,4,2,0,5593
1,2,4,1,0,5872
1,2,4,2,0,5750
1,1,4,1,0,5697
1,1,4,2,0,5598
1,2,4,1,0,5892
1,2,4,2,0,5731
